state,suburb,postcode,electorate,redistributed,other
NSW,NUBBA,2587,Shortland,"", 
WA ,FITZGERALD RIVER NAT PK,6346,O'Connor,"", 
NT ,DARWIN,0800,Solomon,"", 
NT ,ALAWA,0810,Solomon,"", 
NT ,BRINKIN,0810,Solomon,"", 
NT ,BUFFALO CREEK,0810,Solomon,"", 
NT ,CASUARINA,0810,Solomon,"", 
NT ,COCONUT GROVE,0810,Solomon,"", 
NT ,JINGILI,0810,Solomon,"", 
NT ,KULALUK,0810,Solomon,"", 
NT ,LEE POINT,0810,Solomon,"", 
NT ,LYONS,0810,Solomon,"", 
NT ,MILLNER,0810,Solomon,"", 
NT ,MOIL,0810,Solomon,"", 
NT ,MUIRHEAD,0810,Solomon,"", 
NT ,NAKARA,0810,Solomon,"", 
NT ,NIGHTCLIFF,0810,Solomon,"", 
NT ,RAPID CREEK,0810,Solomon,"", 
NT ,SUNSET COVE,0810,Solomon,"",COCONUT GROVE
NT ,TIWI,0810,Solomon,"", 
NT ,WAGAMAN,0810,Solomon,"", 
NT ,WANGURI,0810,Solomon,"", 
NT ,ANULA,0812,Solomon,"", 
NT ,KARAMA,0812,Solomon,"", 
NT ,LEANYER,0812,Solomon,"", 
NT ,MALAK,0812,Solomon,"", 
NT ,MARRARA,0812,Solomon,"", 
NT ,NORTHLAKES,0812,Solomon,"",MARRARA
NT ,SANDERSON,0812,Solomon,"",MARRARA
NT ,WOODLEIGH GARDENS,0812,Solomon,"",LEANYER
NT ,WULAGI,0812,Solomon,"", 
NT ,BAGOT,0820,Solomon,"", 
NT ,BAYVIEW,0820,Solomon,"", 
NT ,BAYVIEW HAVEN,0820,Solomon,"",BAYVIEW
NT ,BOROGOMARRA,0820,Lingiari,"", 
NT ,CITY VALLEY,0820,Solomon,"",WOOLNER
NT ,COONAWARRA,0820,Solomon,"", 
NT ,CULLEN BAY,0820,Solomon,"",LARRAKEYAH
NT ,DARWIN RAAF,0820,Solomon,"", 
NT ,EAST POINT,0820,Solomon,"", 
NT ,EATON,0820,Solomon,"", 
NT ,FANNIE BAY,0820,Solomon,"", 
NT ,LARRAKEYAH,0820,Solomon,"", 
NT ,LARRAKEYAH BARRACKS,0820,Solomon,"", 
NT ,LUDMILLA,0820,Solomon,"", 
NT ,MINMARAMA PARK,0820,Solomon,"", 
NT ,ONE MILE DAM,0820,Solomon,"",RAILWAY DAM
NT ,PARAP,0820,Solomon,"", 
NT ,RAILWAY DAM,0820,Solomon,"", 
NT ,STUART PARK,0820,Solomon,"", 
NT ,THE GARDENS,0820,Solomon,"", 
NT ,THE NARROWS,0820,Solomon,"", 
